headline,category,short_description
‘Now Or Never’: New U.N. Report Sees Narrow Path For Averting Climate Catastrophe,POLITICS,The stark warning comes as Russia’s war further hinders efforts to confront global warming and its mounting impacts.
Ukrainian Americans Protest California Church Talk By Putin Defender Tucker Carlson,POLITICS,A megachurch hosted the Kremlin-positive Fox News host — just as horrifying images of murdered civilians in Ukraine emerged.
'Will Smith' Super Fans Scared Witless At Oscars After Slap In 'SNL' Sketch,COMEDY,"The shocking incident was addressed several times on ""Saturday Night Live,"" including by ""O.J. Simpson"" (Kenan Thompson) on ""Weekend Update."""
'Saturday Night Live's' 'Fox & Friends' Skewers A Wacky Coup-Confessing 'Donald Trump',COMEDY,"""Do coup, who do? ... Yes, in many ways it was an intentional, planned coup,"" says James Austin Johnson's Donald Trump in the cold open."
Zelenskyy: ‘Mothers Of Russian Soldiers’ Should See Graphic Photos Out Of Kyiv Region,WORLD NEWS,"The Ukrainian president responded to the gruesome photos coming out of cities like Bucha and Irpin, which show scores of brutalized civilians."
"Grammys 2022 Red Carpet: See All The Best, Wildest And WTF Looks",ENTERTAINMENT,"After the glitz and glam of last week's Oscars, the stars let loose this weekend at the Grammys."
Ukraine Documents Alleged Atrocities By Retreating Russians,WORLD NEWS,Authorities said Ukraine’s military has discovered indications of execution-style slayings to add to their case for prosecuting Russian officials for war crimes.
The Famously Canceled Louis C.K. Just Won A Grammy,ENTERTAINMENT,"The controversial comedian won for comedy album with “Sincerely Louis C.K.,” beating out other so-called canceled comedians Dave Chappelle and Kevin Hart."
Ukraine Says Russian Troops Are Looting Civilians' Homes On Their Way Out,WORLD NEWS,"Russian forces are driving goods across the border from Kyiv's suburbs and selling the loot, authorities claim."
Pope Francis Calls Putin's Invasion Of Ukraine 'Infantile And Destructive',WORLD NEWS,The pope also condemned the European Union for turning away migrants.
Sarah Palin Is Running For Congress In Alaska,POLITICS,"A decade after her failed vice presidential bid, the former Alaska governor is running to replace conservative GOP Rep. Don Young, who died last week."
Ted Cruz Imagines 'Taking Peyote' Nude During His Upcoming Yale Appearance,POLITICS,Something you just can't unsee.
Trump Tells Member Of Gays For Trump At Mar-a-Lago: 'You Don't Look Gay',POLITICS,"The Gays for Trump founder said the former president was probably expecting to see the ""stereotypical"" gay who fits with the ""typical 'look' of leftist LGBT."""
"Betty Reid Soskin, Oldest National Park Service Ranger, Retires At 100",U.S. NEWS,"The devoted park ranger said she's enjoyed being a ""primary source"" of history at California's Rosie the Riveter/WWII Home Front National Historical Park."
Alaska Airlines Cancels Dozens Of Flights As Pilots Picket,BUSINESS,"More than 100 Alaska Airlines flights were canceled by the airline, including 66 in Seattle, 20 in Portland, Oregon, 10 in Los Angeles and seven in San Francisco."
"Will Smith Resigns From Film Academy Over Oscars Slap, Issues Extensive Apology",ENTERTAINMENT,"The actor described his on-stage assault of Chris Rock at the Academy Awards as ""shocking, painful and inexcusable."""
Marjorie Taylor Greene Sues To Stop Challenge To Her Reelection Eligibility,POLITICS,"A challenge filed last month with the Georgia secretary of state’s office alleges the congresswoman helped facilitate the Jan. 6, 2021, riot on Capitol Hill."
Ukraine Woman's Account Sparks Investigation Into Sexual Violence By Russian Forces,WORLD NEWS,"""Natalya"" detailed her alleged rape by two Russian soldiers in an interview with The Times of London."
Still Have Lingering Congestion After Being Sick? Here's What To Do.,WELLNESS,"A cold, the flu or any virus can leave you sniffling long after the illness has run its course. This advice can help you get relief."
DC Police Find 5 Fetuses In Home Of Anti-Abortion Activist Lauren Handy,CRIME,"""People will freak out when they hear,"" the anti-abortion activist reportedly said."
Alex Jones Faces Fines For Skipping Sandy Hook Deposition,U.S. NEWS,"The penalties will begin at $25,000 per weekday beginning Friday and increase by $25,000 per weekday until he appears for a deposition,"
Kareem Abdul-Jabbar Slams Will Smith For 'Perpetuating Stereotypes',ENTERTAINMENT,The NBA legend's essay gave a Hall of Fame scolding to the Oscar winner for hitting Chris Rock.
Stephen Colbert Gives Kevin McCarthy An X-Rated New Description And... Um...,ENTERTAINMENT,You'll never un-hear this one.
Cory Booker Explains Why He Went To Bat For Ketanji Brown Jackson,POLITICS,"Sen. Dick Durbin (D-Ill.) also told reporters that the GOP treatment of Jackson was ""disgusting."""
Deputies Visit Will Smith's Home After Suspicious Drone Activity,ENTERTAINMENT,Law enforcement appeared at his mansion just days after the actor assaulted Chris Rock during the Oscars.
This Texas City’s Water Crisis Is Shaping A Democratic Congressional Primary,POLITICS,"Jessica Cisneros, a progressive challenging Rep. Henry Cuellar (D), argues that Laredo’s water infrastructure should have improved more during Cuellar’s tenure."
Why Overalls Are The Most Comfortable Go-To Maternity Look,STYLE & BEAUTY,They’re cooler and more accommodating than those elastic-waisted pants.
Joe Biden Slaps Down Question From Fox News' Peter Doocy: 'You Got To Be Silly',POLITICS,"""Why should I tell you?"" Biden responded when Doocy asked for specifics on the U.S. response to a possible Russian chemical attack on Ukraine."
Ex-Oscars Host Jimmy Kimmel Reveals How He Would’ve Handled Will Smith’s Slap,ENTERTAINMENT,The late-night host also praised Chris Rock.
Amy Schumer Says Kirsten Dunst ‘Was In On’ Oscar Seat Filler Joke,ENTERTAINMENT,"""Wouldn't disrespect that queen like that,"" the comedian said of the backlash she received for an awkward bit she did at the ceremony."
FDA Authorizes Second COVID Booster For Those 50 And Older,U.S. NEWS,"This fourth coronavirus vaccine dose would be optional, and federal health officials aren't currently recommending it for everyone in this age group."
Jane Campion Wins Best Directing Oscar For 'The Power Of The Dog',ENTERTAINMENT,The filmmaker’s victory also marks the first time the directing award has gone to women in back-to-back years.
Hillary Clinton To Voice The Giant In Arkansas Production Of ‘Into The Woods’,ENTERTAINMENT,"It's unlikely that playgoers will see the former first lady on stage. The Giant does not appear on stage, and the voice part is usually prerecorded."
Amy Schumer’s Joke About Kirsten Dunst Being An Oscars Seat Filler Made People Cringe,ENTERTAINMENT,Chris Rock wasn’t the only comedian at the Academy Awards who made a joke that led to a truly awkward moment.
Kim Kardashian Says 'Get Your F**king Ass Up And Work' Remark Was 'Taken Out Of Context',ENTERTAINMENT,The reality TV mogul expressed regret over her controversial advice to women in business after facing major backlash.
Trump Touts 'Massive' Turnout At Georgia Rally That Journalists Say Was 'Smallest' In Years,POLITICS,"“This is the smallest crowd I’ve seen at a rally of his in Georgia since he won the 2016 election,"" one local politics reporter said."
Comedians React To Will Smith Hitting Chris Rock Over Bad Joke,ENTERTAINMENT,"""Now we all have to worry about who wants to be the next Will Smith in comedy clubs and theaters,"" wrote Kathy Griffin."
Jessica Chastain Hits Oscars Red Carpet After Nearly Skipping It For A Great Reason,ENTERTAINMENT,"The ""Eyes of Tammy Faye"" star wore a stunning lavender gown by Gucci."
Ukraine Ambassador On Putin's Strategy: ‘We Can Always Count On Russia Lying’,POLITICS,"Oksana Markarova said Ukraine is ready to negotiate a peace agreement with Russia, but that the country will not give up its territories to reach a deal."
Biden Budget Seeks Minimum Tax On Households Worth $100 Million,POLITICS,The introduction of the minimum tax on the wealthiest Americans would represent a significant reorienting of the tax code.
GOP Sen. Rick Scott's Lies About His Own Policy Get Called Out On Fox News,POLITICS,"The Florida Republican tried to write off his proposal to hike taxes for millions of Americans as ""Democrat talking points."""
'Saturday Night Live' Co-Head Writer Michael Che Says He’s Leaving 'Weekend Update',COMEDY,"In an Instagram post, Che clarified he was ""not leaving SNL"" but did not confirm whether he intended to stay at the ""Weekend Update"" desk."
Oscars 2022: See The Complete Winners List,ENTERTAINMENT,"""CODA"" triumphed with a history-making win at the end of an unusually chaotic ceremony."
Ex-Maine Gov Candidate Out On Bail After Child Porn Arrest,POLITICS,Warrants were executed on two of Eliot Cutler’s homes earlier in the week.
"Biden On Putin: 'For God's Sake, This Man Cannot Remain In Power'",WORLD NEWS,President Joe Biden visited Poland's capital on Saturday to speak with refugees who've been displaced amid Russia's attack on Ukraine.
Rep. Madison Cawthorn Tells Audience: 'I Don't Have A Whole Lot Of Wisdom',POLITICS,"But he does have a ""lot of aggression,"" Cawthorn acknowledges in an appearance at a North Carolina GOP men's club event."
Ingraham Guest Says ‘No Reason Whatsoever’ For Ukrainian Refugees To Come To U.S.,U.S. NEWS,"“They're doing great for a group of war refugees."""
WNBA Legend Lisa Leslie: We Were Told Not To Make 'Big Fuss' Over Brittney Griner,SPORTS,"When Brittney Griner was arrested in Russia, there were fears she'd be used as a ""political pawn,"" Lisa Leslie said on a podcast."
'Daily Show' Torches Ted Cruz With A New Job He'd Be Brilliant At,ENTERTAINMENT,"Introducing… “Cruz Missile PR."""
U.S. Indictment Details Russian Efforts To Hack Worldwide Energy Sector,POLITICS,"The charges, sealed since 2021, make “crystal clear the urgent ongoing need for American businesses to harden their defenses,” the Justice Department said."
"60 Miles From Ukraine, Biden Sees Refugee Crisis In Poland",POLITICS,President Joe Biden paid tribute to Poland for giving refuge to more than 2 million Ukrainians who have fled their country since Russia’s invasion.
Half Of Ukraine's Children Displaced Amid Russian Invasion,WORLD NEWS,"Some 4.3 million children in Ukraine have been displaced by the war, according to the United Nations."
Key Dem Manchin Says He'll Back Jackson For Supreme Court,POLITICS,"Manchin has announced his intention to support the nomination of Ketanji Brown Jackson, pushing her one step closer to confirmation."
"U.S., E.U. Announce New Partnership To Undercut Russian Energy",WORLD NEWS,The White House announced the U.S. and other nations will increase liquified natural gas exports to Europe by 15 billion cubic meters in 2022.
"Biden To Visit Poland, A Complex Ally On Ukraine's Doorstep",WORLD NEWS,The two-day visit starting Friday follows a trio of emergency war summits in Brussels.
"White House Removes Dr. Oz, Herschel Walker From Presidential Council",POLITICS,"The Biden administration asked the Republican Senate candidates to resign or be removed from the council on sports, fitness and nutrition."
Fox News' Ketanji Brown Jackson Coverage Melts 'Daily Show' Comedian's Mind,ENTERTAINMENT,Desi Lydic offered her own commentary on the Supreme Court nominee after pretending to binge-watch the conservative network.
OOPS! Reporters Spot What Sen. Ted Cruz Was Looking At On His Phone During Hearings,POLITICS,The Texas senator was roasted on Twitter for this one.
Howard Stern Gives 'Wacko Party' Trump Fans A Brutal Election Reality Check,ENTERTAINMENT,"The radio icon slams the ""absolutely absurd"" flaw in the system that allowed Trump to become president in the first place."
New York City To Let Unvaccinated Athletes Play Home Games,U.S. NEWS,The city's vaccine mandate will still apply for workers in other jobs.
Ukraine Says Russia Seized Relief Workers In Mariupol Convoy,WORLD NEWS,"Ukrainian President Volodymyr Zelenskyy said about 100,000 civilians were still in Mariupol with no access to food and water."
Moderna Says Its Low-Dose COVID Shots Work For Kids Under 6,U.S. NEWS,The nation’s 18 million children under 5 are the only age group not yet eligible for vaccination.
Starbucks Workers In Seattle Vote To Form Union,BUSINESS,That makes seven Starbucks stores that have voted to unionize in a matter of months.
One of Two Black Boxes Found In China Eastern Plane Crash,WORLD NEWS,The exterior of the black box recorder was so damaged that investigators could not immediately conclude whether it was the flight data recorder or the cockpit voice recorder.
FBI Sees Growing Russian Hacker Interest In U.S. Energy Firms,U.S. NEWS,The warning highlights the White House's heightened cybersecurity concerns due to the ongoing war in Ukraine.
"Norway’s King Tests Positive For COVID, Has Mild Symptoms",WORLD NEWS,"The king's duties as Norway’s head of state are ceremonial, and he holds no political power."
Spring Break Shootings: Miami Beach Emergency Brings Curfew,U.S. NEWS,"Five people were shot over the weekend, the Miami Beach mayor said."
See The Moment Man Is Rescued From Underground Storm Pipe After 2 Days,U.S. NEWS,Passersby heard the man screaming from inside the pizza-sized pipe.
Putin Critic Navalny Sentenced To 9 Years In Maximum Security Prison,WORLD NEWS,"Alexei Navalny, who is already serving 2½ years for parole violations, was convicted of fraud and contempt of court."
Closing Arguments Set In 'Cowboys For Trump' Founder Jan. 6 Trial,U.S. NEWS,"Couy Griffin, an elected official from New Mexico, is the second person tried on charges stemming from the U.S. Capitol riot."
9 Million Children To Be Vaccinated Against Polio In Africa,WORLD NEWS,The urgent vaccination campaign has started in Malawi where drops of the inoculation are being placed in the mouths of children across the country
'Mean Girls' Star Jonathan Bennett Marries Jaymes Vaughan In Mexico,ENTERTAINMENT,"The two men made it official in a stunning beach ceremony that included a fireworks display set to the soundtrack of ""The Greatest Showman."""
Ketanji Brown Jackson Vows To Be Nonpartisan In Supreme Court Hearing,POLITICS,Republicans will spend the next two days grilling Jackson on her record. They've already signaled plans to attack her for being “soft on crime.”
Biden Urges Companies To Prepare For Potential Russian Cyberattacks,U.S. NEWS,Biden said Russia could launch an cyberattack against U.S. targets as retaliation for “the unprecedented economic costs we’ve imposed” on the country.
"Goal Of Capping Global Warming At 1.5 Degrees Celsius Is 'On Life Support,' UN Chief Warns",ENVIRONMENT,"“There is no kind way to put it,” United Nations Secretary-General António Guterres said."
Alabama Man Accused Of Stealing 70-Ton Crane,WEIRD NEWS,"The suspect claimed someone gave him the crane, and he wanted it removed so he could sell it for scrap, according to the Chilton County Sheriff’s Office."
Ukraine Rejects Russian Demand For Surrender In Mariupol,WORLD NEWS,"Fighting for Mariupol has continued to be intense, even as the Russian offensive has floundered in other areas."
"‘The Batman,’ Still No. 1, Crosses $300 Million",ENTERTAINMENT,"“The Batman” is still going strong three weeks into its theatrical run, with a tight grip on the top spot at the box office."
Shooting Wounds 4 Near South By Southwest Festival In Austin,CRIME,"A suspect has been taken into custody for the early morning shooting that left several people with not life-threatening injuries, police said."
Liz Cheney Says Jan. 6 Committee Exploring ‘Enhanced Criminal Penalties’ For Trump,POLITICS,The Wyoming Republican who co-chairs the House panel also said the probe's findings will reveal new information about the insurrection on the Capitol.
Clash Gives Blessing To Song Retooling For Gut-Wrenching Ukrainian Resistance Anthem,WORLD NEWS,"""London Calling"" is transformed into ""Kyiv Calling"" by punk band Beton: ""Kyiv calling to the faraway towns. Kyiv calling to the whole world... Kyiv rising."""
Russian Military Slog In Ukraine A ‘Dreadful Mess’ For Putin,WORLD NEWS,"More than three weeks into his invasion of Ukraine, Russian President Vladimir Putin's initial aim of easily changing over the government in Ukraine is long gone."
'No City Anymore': Mariupol Survivors Flee On Train To Safety,POLITICS,The heat on the train was as thick as the anxiety as Ukrainian survivors of one of the most brutal sieges in modern history fled to the safer western city of Lviv.
Russian Cosmonauts Arrive At International Space Station In Colors Of Ukrainian Flag,WORLD NEWS,"It is unclear what, if any, message the yellow flight suits with blue accents were intended to send."
Canada Gives Russian Letter Lamenting Humanitarian Disaster A Scathing Rewrite,WORLD NEWS,The Russian envoy's letter about Ukraine received a blistering edit in red from Canada's mission to the United Nations.
Top Putin Flack Sergey Lavrov Praises Fox News,POLITICS,"Russia's top diplomat had some warm words for the conservative network, whose prime-time personality Tucker Carlson has repeated pro-Kremlin talking points."
Russia Uses New Hypersonic Missile For First Time In Ukraine,WORLD NEWS,Ukrainian President Volodymyr Zelenskyy warned Russia's strategy will ultimately fail and Moscow will lose in the long run if it doesn’t end its war.
"Putin Likens Opponents To 'Gnats,' Evoking Stalin's Dehumanizing Language",WORLD NEWS,Russian President Vladimir Putin used language that recalls the rhetoric from Josef Stalin’s show trials of the 1930s.
4 U.S. Troops Killed In Plane Crash During NATO Exercise,U.S. NEWS,The annual NATO drills in Norway are unrelated to the war in Ukraine.
Peru Court Orders Ex-President Fujimori Freed From Prison,WORLD NEWS,Peru's former President Alberto Fujimori is serving a 25-year sentence for murder and corruption charges.
China Weighs Exit From 'Zero COVID' And The Risks Involved,WORLD NEWS,"The change does not appear imminent as the government continues its policy of sticking with lockdowns, mass testing and quarantine for overseas arrivals."
Russian Missiles Hit Near Lviv Airport As Strikes Continue,WORLD NEWS,World leaders have been calling for an investigation into Russia's repeat attacks on civilians in Ukraine.
"Syria's Assad Visits UAE, 1st Trip To Arab Country Since War",WORLD NEWS,"Assad's office said he met with Sheikh Mohamed bin Rashid Al Maktoum, vice president and prime minister of the UAE and the ruler of Dubai."
"Strong Japan Earthquake Kills 4, Injures 107",WORLD NEWS,The 7.4-magnitude temblor knocked out power and cause extensive damage to peoples' properties breaking windows and smashing furniture.
"9 Dead, 2 Injured In Fiery Crash Involving University Of The Southwest Golf Teams",U.S. NEWS,Two Canadian students were also hospitalized in critical condition.
"Biden COVID Coordinators Leaving, To Be Replaced By Ashish Jha",POLITICS,"Jeff Zients and his deputy Natalie Quillian will leave the administration next month. Jha, the dean of the Brown University School of Public Health, will take over."
"European Mars Mission Suspended For This Year, Due To War In Ukraine",POLITICS,"The European Space Agency confirmed Thursday that it’s indefinitely suspending its ExoMars rover mission with partner Roscosmos, Russia’s state space corporation."
Fewer Americans File For Jobless Claims Last Week,U.S. NEWS,"Jobless claims fell by 15,000 to 214,000 for the week ending March 12, down from the previous week's 229,000."
"Irish PM Tests Positive For COVID While Attending Event With Biden, Pelosi",POLITICS,Taoiseach Micheál Martin was at the Ireland Funds 30th National Gala at the National Building Museum in Washington when he learned of his diagnosis.
Guatemala Drops Law Imprisoning Women For Getting Abortions,WORLD NEWS,The law also sought to explicitly ban same-sex marriage and prohibit discussion of sexual diversity in schools.
Ukraine President Volodymyr Zelenskyy To Appeal To U.S. Lawmakers For More Help Against Russia,WORLD NEWS,Ukraine’s president seeks help to “close the skies over Ukraine to Russian missiles and planes.”
Haiti's Health Professionals Go On Strike Over Kidnappings,WORLD NEWS,The strike has shut down public and private health institutions in Haiti's capital and beyond. Only emergency rooms are still accepting patients.
"BMW, VW Warn Of Shortages From Part Suppliers In Ukraine",WORLD NEWS,"BMW and Volkswagen have warned that Russia’s invasion of Ukraine is causing shortages of some vital components, forcing them to reduce vehicle production in Europe."
Bomb-Threatened Black Schools Eligible For Security Grants,U.S. NEWS,The funding will be provided under the Project School Emergency Response to Violence program to improve campus security and access to mental health resources.
Pandemic Preparedness Bill Moves Ahead; Funding Still Needed,POLITICS,"If the PREVENT Pandemic Act is passed in Congress, lawmakers would still have to deliver billions of dollars for it to materialize."
Biden To Travel To Europe For NATO Summit On Russia’s War On Ukraine,POLITICS,"The president will travel next week to Brussels, where NATO leaders will ""discuss ongoing deterrence and defense efforts in response to"" Russia's invasion."
"No Charges Against Chicago Police Officers In Deaths Of Adam Toledo, Anthony Alvarez",U.S. NEWS,Cook County State’s Attorney Kim Foxx said there was insufficient evidence to charge the officers.
"UN Says Women Pay Highest Price In Conflict, Now In Ukraine",WORLD NEWS,The head of the U.N. women’s agency warned the war is damaging the lives and futures of Ukrainian women and girls.
UN Chief: Ukraine War Hitting Poor Nations Reliant On Wheat,WORLD NEWS,"The United Nations chief said the poorest developing countries are seeing their breadbasket ""being bombed"" as a result of Russia's war on Ukraine."
UC Berkeley Can Enroll Thousands More Students As Gov. Signs New Legislation,POLITICS,"The California university had been blocked from admitting around 3,000 students — or a third of its incoming freshman class — due to a local lawsuit."
U.S. Astronaut To Return On Russian Capsule Despite Heightened Tensions Over War,U.S. NEWS,"NASA insists Mark Vande Hei’s homecoming plans remain unchanged, even as Russia’s invasion of Ukraine has seen canceled launches and broken contracts."
Stocks Sway On Wall Street As Oil Slides To $100 Per Barrel,U.S. NEWS,Markets have careened in recent weeks amid uncertainty about whether the economy may be heading for a toxic combination of stagnating growth and persistently high inflation.
"Cops In NYC, DC, Suspect Same Gunman Shot 5 Homeless People",CRIME,Two of the victims — one in each city — have died.
Joe Manchin Opposes Sarah Bloom Raskin Nomination To Federal Reserve,POLITICS,"The conservative Democrat said Raskin ""failed to satisfactorily address my concerns,"" likely dooming her bid to serve on the Federal Reserve Board."
Idaho Becomes First State To Pass Copycat Texas Abortion Ban,POLITICS,"Republican Gov. Brad Little is expected to sign the measure into law, and it will likely go into effect next month."
Putin's War Could Worsen The Impact Of COVID-19 In Ukraine,WORLD NEWS,"Russia's invasion has destroyed health care facilities, curbing Ukrainians' access to services, including COVID-19 vaccinations, the World Health Organization said."
"Breonna Taylor’s Family, Supporters Sustain Push For Justice",U.S. NEWS,Breonna Taylor’s family has joined with demonstrators and other supporters to honor the two-year anniversary of the Black woman’s death in a botched police raid.
Idaho Gov. Candidate Ammon Bundy Busted Protesting Police Seizure Of Malnourished Baby,POLITICS,"Right-wing rancher and gubernatorial candidate Bundy, who seized public lands with supporters in 2016, called the baby's health treatment ""medical tyranny."""
Tom Brady Announces He's Not Retiring After All: 'My Place Is Still On The Field',SPORTS,"""That time will come. But it’s not now,"" the NFL legend wrote."
"NYC Police Search For Suspect Who Shot 2 Sleeping Homeless Men, One Fatally",CRIME,"Surveillance video of the violence is ""chilling, to see a cold-blooded act of murder,"" Mayor Eric Adams said at a news conference."
"Census: Black Population Grows In Suburbs, Shrinks In Cities",U.S. NEWS,"For decades, Black residents have been leaving some of the nation's largest cities while suburbs have seen Black population growth."
Average U.S. Gas Price Rises 22% In Two Weeks To Record $4.43,U.S. NEWS,The price at the pump is $1.54 higher than it was a year ago.
"Russian Airstrike Hits Base In Western Ukraine, Kills 35",WORLD NEWS,The attacked training base near Yavoriv is less than 15 miles from the Polish border and appears to be the westernmost target struck during Russia’s 18-day invasion.
Wisconsin Republicans Want Supreme Court To Block Map That Adds A Black-Majority District,POLITICS,"One voting rights expert called the state redistricting challenge from GOP legislators ""an aggressive move … weaved in with a bunch of cynicism."""
Stephen Colbert Sends A Mocking Message To His Past Self,ENTERTAINMENT,"“Way to go, past Stephen,” the ""Late Show” comedian joked about a monologue from last year."
"Russia Accuses Ukraine, U.S. Of Biological Weapon Operations In Heated U.N. Face-Off",WORLD NEWS,"“No chemical or any other weapons of mass destruction were developed on my land,” the Ukrainian president said on Facebook. “The whole world knows that.”"
2 Women Dead After Car Crashes Into D.C. Restaurant's Outdoor Patio,U.S. NEWS,Six others were injured in the accident at Greek restaurant Parthenon.
"Cancer Hospital Struck By Russian Shelling, Says Ukraine",WORLD NEWS,Several hundred patients were reportedly inside the Mykolaiv hospital during the attack.
"Russian Forces Target Airports In Western Ukraine, Far From Main Offensive",WORLD NEWS,The latest bombings possibly indicate a new direction in the war.
Deportation Agents Are Using An App To Monitor Immigrants,POLITICS,Advocates say use of the app is unfair considering many of the immigrants it tracks have already paid bond to get out of U.S. detention facilities.
Alec Baldwin Denies Responsibility For Fatal 'Rust' Shooting In New Court Filing,U.S. NEWS,Baldwin fatally shot cinematographer Halyna Hutchins when the prop gun he was using turned out to have live rounds in it.
"Meta Grants Exemption To Hate Speech Rules, Allowing Calls For Violence Against Putin",MEDIA,The rules change applies to Facebook and Instagram users in 12 countries following Russia's invasion of Ukraine.
VP Harris Heads To Romania As Ukraine Refugee Crisis Grows,WORLD NEWS,Vice President Kamala Harris and Romania’s president will meet Friday to discuss growing concerns about the influx of displaced people fleeing Ukraine due to Russia's invasion.
"Senate Gives Final Approval To Ukraine Aid, Huge Budget Bill",POLITICS,The Senate has given final congressional approval to a $13.6 billion emergency package of military and humanitarian aid for besieged Ukraine and its European allies.
U.S. Inflation Sets A Fresh 40-Year High Over Past Year,U.S. NEWS,"Propelled by surging costs for gas, food and housing, consumer inflation jumped 7.9% over the past year, the sharpest spike since 1982 and likely only a harbinger of even higher prices to come."
S. Korea's President-elect Wants Tougher Stance On N. Korea,WORLD NEWS,"South Korea’s president-elect Yoon Suk Yeol says he would solidify an alliance with the United States, build up a powerful military and sternly cope with North Korean provocations."
"California Can Set Tough Vehicle Emissions Rules Again, Biden Administration Says",POLITICS,The move reverses a Trump era effort to eviscerate the nation's environmental laws.
"House Approves Ban On Russian Oil To U.S., Bolstering Biden",POLITICS,The House overwhelmingly approved legislation Wednesday that would ban Russian energy imports to the United States.
China Fights New COVID-19 Spike With More Selective Approach,WORLD NEWS,China is tackling a COVID-19 spike with selective lockdowns and other measures that appear to slightly ease its draconian “zero tolerance” strategy.
"COVID-19 Cases, Deaths Continue To Drop Globally, WHO Says",WORLD NEWS,"The World Health Organization said new infections declined by 5 percent in the last week, continuing the downward trend in COVID-19 infections globally."
"Texas Flagged 27,000 Mail Ballots For Rejection In Primary",POLITICS,"An analysis by Associated Press found the flagged ballots, putting the rate of rejected mail ballots in Texas on track to significantly surpass previous elections."
3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,BUSINESS,That makes six union Starbucks stores with more than a hundred others seeking elections.
Top Lawmakers Reach Deal On Ukraine Aid As Part Of $1.5 Trillion Spending,U.S. NEWS,Congressional leaders reached a bipartisan deal to provide $13.6 billion to help Ukraine fend off its invasion by Russia and assist European allies coping with refugees.
"2 Weeks Into War On Ukraine, Russia Bears Down On Key Cities",WORLD NEWS,"But the invading force of more than 150,000 troops retains large and possibly decisive advantages in firepower."
"Congress Passes Bill To Shore Up Postal Service, Delivery",U.S. NEWS,The long-fought postal overhaul has been years in the making and comes amid widespread complaints about mail service slowdowns.
"After A Year Away, Oscar Nominees Celebrate Together",ENTERTAINMENT,"Attendees, including Will Smith and Bradley Cooper, gathered for the annual Oscar Nominees Luncheon after a year away due to the pandemic."
Top Law Enforcement Officials Back Judge Ketanji Brown Jackson's Supreme Court Nomination,POLITICS,Jackson has also been praised by defense attorney groups.
Biden Reportedly Set To Ban Russian Oil Imports Over Ukraine War,POLITICS,The move follows pleas by Ukrainian President Volodmyr Zelenskyy to U.S. and Western officials to cut off the imports.
Ukraine Refugee Count Reaches A Staggering 2 Million In Escape From Russian Invasion,WORLD NEWS,It is the fastest exodus in Europe since World War II.
"Shell Says It Will Stop Buying Russian Oil, Natural Gas",BUSINESS,The decision comes as surging oil prices have been rattling global markets and after Ukraine’s foreign minister criticized Shell for continuing to buy Russian oil.
Minneapolis Teachers Strike After Failing To Reach Contract,U.S. NEWS,Teachers in the neighboring St. Paul School District announced a tentative agreement late Monday night to avert a strike that had also been scheduled to start Tuesday.
"‘Lost Daughter,’ 'Drive My Car' Win Top Prizes At Independent Spirit Awards",ENTERTAINMENT,The show’s hosts and honorary chair also spoke about the war in Ukraine.
4 Of 7 Killed In Iowa Tornadoes From Same Family: Sheriff,U.S. NEWS,"Two children, their father and their grandmother all died Saturday when a tornado hit the grandparents’ home near rural Winterset that didn’t have a basement."
Atlanta Falcons Player Suspended For 2022 Season After Betting On NFL Games,SPORTS,"The NFL said Calvin Ridley's betting took place during five days in November 2021, when the wide receiver was away addressing mental health concerns."
"Former NY Gov. Andrew Cuomo Rips 'Cancel Culture,' Hints At Political Comeback",U.S. NEWS,Cuomo resigned after an independent probe found he sexually harassed nearly a dozen women and that he and aides worked to retaliate against an accuser.
"NYC Sheds Vaccination Mandate, School Masks Precautions",U.S. NEWS,"""We did our job as New Yorkers and now we’re winning,"" the mayor said on TV station NY1."
Netflix Suspends Service In Russia Over Ukraine Invasion,ENTERTAINMENT,The move comes just after the company said it would immediately “pause” its Russian television and film productions.
'Dune' Star Oscar Isaac Connects With His Inner Avenger In Boyhood Home Movie On 'SNL',COMEDY,"""This was ‘The Avenger,’ which is a movie that I wrote, directed and starred in when I was 10 years old,” the ""Moon Knight"" star explained in his monologue."
Twitter Reportedly Bans 100 'I Stand With Putin' Accounts For 'Inauthentic Behavior',POLITICS,A professor in Qatar was the first to spot the propaganda accounts praising Putin and Russia's invasion of Ukraine.
TikTok Bans New Videos Made In Russia Over Putin's Anti-'Fake News' Law,U.S. NEWS,The app responded to Russian President Vladimir Putin enacting a law that bans anything he deems to be misinformation about the country's invasion of Ukraine.
‘The Batman’ Gives Movie Theaters A New Hope With Big Launch,ENTERTAINMENT,"“The Batman,” starring Robert Pattinson, took in $128.5 million in its box office debut over the weekend."
Blinken Vows U.S. Support To Moldova As War Rages In Neighboring Ukraine,POLITICS,The small Western-leaning former Soviet republic is coping with an influx of refugees from Ukraine and warily watching Russia’s intensifying aggression
Official: 6 Dead As Large Tornado Roars Through Central Iowa,ENVIRONMENT,A county official also said 25 to 30 homes were badly damaged by the tornado.
Mariupol Diaries: Scenes Of Despair And Resolve In The Besieged Ukrainian City,WORLD NEWS,"Associated Press journalists document what life has become in the southeastern Ukrainian city, which would be a key victory for the Russians."
